%time,field.data
1439976737720334053,  530   198   867  4309 -5104 -15837  -244   -20  -202

1439976737759979963,  539   343   858  4781 -1811 -10102  -233   -80  -184

1439976737800914049,  544   457   775  3264 -1241 -8036  -222  -116  -172

1439976737841084957,  280   569   781  3013 -1128 -11475  -198  -159  -164

1439976737879549980,  146   561   806  3649  -748 -4022  -182  -184  -153

1439976737919795036,  442   647   676  3050 -1622 -5953  -169  -201  -139

1439976737959911108,  497   576   712  2203  1137  -987  -159  -212  -134

1439976738000591993,  518   552   730  2157  3370  8995  -170  -201  -135

1439976738039895057,  570   614   711  1347  5353 13848  -200  -161  -146

1439976738080051898,  702   375   770  1399  6232 20060  -228  -107  -163

1439976738120413064,  885   374   725   -21  8061 27504  -248    -6  -191

1439976738160048961,  801    -8   867   466  7131 23626  -234   103  -224

1439976738199670076,  775   -52   848  2706  8250 26833  -186   198  -257

1439976738239897012,  735  -273  1003  2020  8196 30199   -98   288  -288

1439976738280289888,  656  -472   973  4232  6148 21889     9   336  -315

1439976738320374011,  342  -335   994  5197  4566 19687    89   338  -338

1439976738360068082,  475  -221   975  4839  2028 24201   169   318  -355

1439976738399857997,  336  -289  1000  6002  5478 13685   232   281  -365

1439976738439948081,  160    14   943  4541  8310 21821   288   230  -367

1439976738480027914,  157    15   972   513  5586 13560   338   173  -355

1439976738520936012, -244  -259   927  5283  2663  4760   357   143  -347

1439976738559884071,  -56    74   835  3685  -289  4453   360   113  -345

1439976738600073099,  -18   -57   865  2544  1454   743   362   101  -345

1439976738639770984, -215   -69   942  2175   592    44   366    91  -339

1439976738680003881,   -2  -135   975  2811   498 -4624   365    92  -336

1439976738720283031, -187   -87  1064  4012  1602 -3049   370    94  -331

1439976738760174989, -399   144  1117  4159  1038 -4513   374    96  -327

1439976738799681901, -421   257  1129  3235  -385 -5721   373   104  -324

1439976738840890884, -396   179  1038  3802   235 -3760   373   107  -325

1439976738880223989, -579   492   932  3790  -715 -7833   371   116  -324

1439976738920129060, -756   238   831  2371 -2287 -12298   362   144  -329

1439976738959603071, -888   102   793  2815 -2893 -11997   344   174  -337

1439976738999557018,-1009   360   880  2403 -6562 -16784   309   205  -352

1439976739041491031, -641   296   923   867 -8806 -20478   266   236  -366

1439976739079987049, -609   349   956  1923 -8028 -15636   198   258  -377

1439976739119971990, -549   428   930 -1249 -10001 -16976   132   268  -378

1439976739159965991, -180   193   794 -3829 -12396 -20365    45   272  -365

1439976739199563980,   69    44   839 -1451 -11296 -26070   -54   249  -335

1439976739239540100,  189   179   866  1206 -7605 -24158  -134   184  -308

1439976739279659986,  152   -44   949    97 -7278 -19824  -182   111  -283

1439976739319691896,  340    83   901  3162 -3528 -13042  -203    47  -262

1439976739359931945,  210   242   906  3562 -2465 -6931  -208     1  -251

1439976739399806022,  423   295   834  2685 -1339 -1187  -209   -20  -242

1439976739440076112,  381   200   875  2197   430  1208  -211   -21  -240

